Falling_In_Love 2NE1:Falling_In_Love.txt
Don't_Stop 5_Seconds_Of_Summer:Don't_Stop.txt
Just_Saying 5_Seconds_Of_Summer:Just_Saying.txt
Wrapped_Around_Your_Finger 5_Seconds_Of_Summer:Wrapped_Around_Your_Finger.txt
Play_Ball Ac_Dc:Play_Ball.txt
Rock_Or_Bust Ac_Dc:Rock_Or_Bust.txt
Don't_Wanna_Fight Alabama_Shakes:Don't_Wanna_Fight.txt
Cool Alesso:Cool.txt
Heroes Alesso:Heroes.txt
Dance Alexandra_Stan:Dance.txt
Little_Do_You_Know Alex_And_Sierra:Little_Do_You_Know.txt
We_Gotta_Pray Alicia_Keys:We_Gotta_Pray.txt
Blonde Alizee:Blonde.txt
Every_Other_Freckle Alt-J:Every_Other_Freckle.txt
Hunger_Of_The_Pine Alt-J:Hunger_Of_The_Pine.txt
American_Beauty/American_Psycho american_beautyamerican_psycho_lyrics.txt
Honey,_I'm_Good. Andy_Grammer:Honey,_I'm_Good..txt
CANDLXS Angel_Haze:CANDLXS.txt
The_Wolfpack Angels_&amp;_Airwaves:The_Wolfpack.txt
Do_I_Wanna_Know? Arctic_Monkeys:Do_I_Wanna_Know?.txt
All_My_Love Ariana_Grande:All_My_Love.txt
Best_Mistake Ariana_Grande:Best_Mistake.txt
Break_Free Ariana_Grande:Break_Free.txt
Love_Me_Harder Ariana_Grande:Love_Me_Harder.txt
My_Everything Ariana_Grande:My_Everything.txt
One_Last_Time Ariana_Grande:One_Last_Time.txt
Problem Ariana_Grande:Problem.txt
They_Don't_Understand Ariana_Grande:They_Don't_Understand.txt
Lord_Pretty_Flacko_Jodye_2 ASAP_Rocky:Lord_Pretty_Flacko_Jodye_2.txt
Smoke A_Thousand_Horses:Smoke.txt
Places Austin_Mahone:Places.txt
Waiting_For_This_Love Austin_Mahone:Waiting_For_This_Love.txt
The_Days Avicii:The_Days.txt
The_Nights Avicii:The_Nights.txt
Windows Awolnation:Windows.txt
Desperado Azealia_Banks:Desperado.txt
Ice_Princess Azealia_Banks:Ice_Princess.txt
Idle_Delilah Azealia_Banks:Idle_Delilah.txt
In_The_Air Azealia_Banks:In_The_Air.txt
JFK Azealia_Banks:JFK.txt
Miss_Amor Azealia_Banks:Miss_Amor.txt
